"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"GO:0051707 response to other organism"	0.00113250679591534	3.06555254975726	0.00113250679591534	0.832665946356283	336	0.00113250679591534
"GO:0098542 defense response to other organism"	0.00128723909791369	3.0308454065647	0.0012872390979137	0.832665946356283	255	0.00128723909791369
"GO:0009615 response to virus"	0.00303996212923474	2.76206060096025	0.00303996212923474	0.832665946356283	169	0.00303996212923474
"GO:0051607 defense response to virus"	0.00410914657641561	2.66905695181195	0.00410914657641563	0.832665946356283	113	0.00410914657641561
"GO:0051704 multi-organism process"	0.00491782422288669	2.58621836623295	0.00491782422288669	0.832665946356283	573	0.00491782422288669
"GO:0006952 defense response"	0.0051928741344108	2.56728822108013	0.0051928741344108	0.832665946356283	644	0.0051928741344108
"GO:0035456 response to interferon-beta"	0.00627851476541257	2.56897434443758	0.00627851476541258	0.832665946356283	35	0.00627851476541257
"GO:0043207 response to external biotic stimulus"	0.00793908238852161	2.41625838962213	0.00793908238852161	0.832665946356283	534	0.00793908238852161
"GO:0009607 response to biotic stimulus"	0.0102471196162768	2.3210221433858	0.0102471196162768	0.832665946356283	560	0.0102471196162768
"GO:0002252 immune effector process"	0.0120065553926437	2.26313358688933	0.0120065553926437	0.832665946356283	287	0.0120065553926437
"GO:0035458 cellular response to interferon-beta"	0.0123578715093954	2.31579166897281	0.0123578715093955	0.832665946356283	28	0.0123578715093954
"GO:0000281 mitotic cytokinesis"	0.016142666072702	2.24789783820964	0.016142666072702	0.832665946356283	28	0.0161426660727019
"GO:0000910 cytokinesis"	0.0174328041317706	2.15113106146788	0.0174328041317706	0.832665946356283	62	0.0174328041317706
"GO:0061640 cytoskeleton-dependent cytokinesis"	0.0174332733145544	2.19816588649015	0.0174332733145544	0.832665946356283	32	0.0174332733145544
"GO:0045087 innate immune response"	0.0175959519109499	2.11157697308323	0.0175959519109499	0.832665946356283	287	0.0175959519109499
"GO:1903047 mitotic cell cycle process"	0.0180680754275605	2.10098402332692	0.0180680754275604	0.832665946356283	350	0.0180680754275605
"GO:0009605 response to external stimulus"	0.0277122223141359	1.91676741915038	0.0277122223141359	0.832665946356283	984	0.0277122223141359
"GO:0006955 immune response"	0.0349637106849665	1.81421353231615	0.0349637106849666	0.832665946356283	549	0.0349637106849665
"GO:0007059 chromosome segregation"	0.0375422218664868	1.79642004881622	0.0375422218664868	0.832665946356283	95	0.0375422218664868
"GO:0045088 regulation of innate immune response"	0.0386162609277142	1.77213196988461	0.0386162609277142	0.832665946356283	182	0.0386162609277142
"GO:0022402 cell cycle process"	0.0387828922420697	1.7668317231144	0.0387828922420697	0.832665946356283	589	0.0387828922420697
"GO:0000278 mitotic cell cycle"	0.0400020618388984	1.75636062781404	0.0400020618388984	0.832665946356283	231	0.0400020618388984
"GO:0035455 response to interferon-alpha"	0.0402461831354186	1.7882107977598	0.0402461831354186	0.832665946356283	24	0.0402461831354186
"GO:0034097 response to cytokine"	0.0426580658741177	1.72417304153007	0.0426580658741177	0.832665946356283	308	0.0426580658741177
"GO:0034341 response to interferon-gamma"	0.0447858116156149	1.71264663292278	0.0447858116156149	0.832665946356283	57	0.0447858116156149
"GO:0042832 defense response to protozoan"	0.0513597436443488	1.67084680730676	0.0513597436443488	0.832665946356283	24	0.0513597436443488
"GO:0001562 response to protozoan"	0.0516044894604088	1.66632242144428	0.0516044894604088	0.832665946356283	25	0.0516044894604088
"GO:0042742 defense response to bacterium"	0.0534881413917774	1.61824665308715	0.0534881413917774	0.832665946356283	129	0.0534881413917774
"GO:0009617 response to bacterium"	0.0545361063991388	1.60753350147985	0.0545361063991389	0.832665946356283	150	0.0545361063991388
