"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"GO:0009986 cell surface"	0.0320634256733094	1.85521664518377	0.0320634256733094	0.852005205729463	411	0.0320634256733094
"GO:0044217 other organism part"	0.0624029018408789	1.56644765843806	0.0624029018408789	0.852005205729463	22	0.0624029018408789
"GO:0005871 kinesin complex"	0.0636811205730651	1.55021333847304	0.0636811205730652	0.852005205729463	42	0.0636811205730651
"GO:0000775 chromosome, centromeric region"	0.0729189192189	1.47157446993893	0.0729189192189	0.852005205729463	59	0.0729189192189
"GO:0030496 midbody"	0.0853090032996494	1.3763631793949	0.0853090032996493	0.852005205729463	118	0.0853090032996494
"GO:0000940 condensed chromosome outer kinetochore"	0.0888621905810691	1.43650204601643	0.0888621905810691	0.852005205729463	12	0.0888621905810691
"GO:0033643 host cell part"	0.0897074963258549	1.37981934143375	0.0897074963258549	0.852005205729463	14	0.0897074963258549
"GO:0005578 proteinaceous extracellular matrix"	0.0910730421627219	1.33879710616446	0.091073042162722	0.852005205729463	153	0.0910730421627219
"GO:0005758 mitochondrial intermembrane space"	0.095560823811063	1.32099315073297	0.095560823811063	0.852005205729463	61	0.095560823811063
"GO:0005694 chromosome"	0.0964673153863616	1.3049260437544	0.0964673153863617	0.852005205729463	173	0.0964673153863616
"GO:0031970 organelle envelope lumen"	0.0977856167711709	1.30509842564535	0.0977856167711709	0.852005205729463	74	0.0977856167711709
"GO:0005743 mitochondrial inner membrane"	0.0997841444499091	1.28491541361134	0.0997841444499092	0.852005205729463	289	0.0997841444499091
"GO:0019866 organelle inner membrane"	0.100113241840418	1.28277728117826	0.100113241840418	0.852005205729463	320	0.100113241840418
"GO:0005813 centrosome"	0.100959023237576	1.27752109977885	0.100959023237576	0.852005205729463	408	0.100959023237576
"GO:0005875 microtubule associated complex"	0.102901596564978	1.27001439012335	0.102901596564978	0.852005205729463	112	0.102901596564978
"GO:0031012 extracellular matrix"	0.10417105489363	1.26091099105146	0.10417105489363	0.852005205729463	207	0.10417105489363
"GO:0031966 mitochondrial membrane"	0.10588427722483	1.24992110293055	0.10588427722483	0.852005205729463	433	0.10588427722483
"GO:1990204 oxidoreductase complex"	0.106438902525356	1.25229717961092	0.106438902525356	0.852005205729463	84	0.106438902525356
"GO:0098687 chromosomal region"	0.111550919000077	1.22097929370735	0.111550919000077	0.852005205729463	196	0.111550919000077
"GO:0072562 blood microparticle"	0.11452738917447	1.21275827181205	0.11452738917447	0.852005205729463	66	0.11452738917447
"GO:0045120 pronucleus"	0.114967798505477	1.23976918436586	0.114967798505477	0.852005205729463	18	0.114967798505477
"GO:0099080 supramolecular complex"	0.12462462858712	1.15317671349742	0.12462462858712	0.852005205729463	445	0.12462462858712
"GO:0099081 supramolecular polymer"	0.12462462858712	1.15317671349742	0.12462462858712	0.852005205729463	445	0.12462462858712
"GO:0099512 supramolecular fiber"	0.124823069810013	1.15220653563107	0.124823069810013	0.852005205729463	446	0.124823069810013
"GO:0044420 extracellular matrix component"	0.127720636174629	1.14403009652338	0.127720636174629	0.852005205729463	82	0.127720636174629
"GO:0032155 cell division site part"	0.132705383213321	1.12439685121361	0.132705383213321	0.852005205729463	47	0.132705383213321
"GO:0070938 contractile ring"	0.133820052586038	1.16698301553796	0.133820052586038	0.852005205729463	11	0.133820052586038
"GO:0044448 cell cortex part"	0.143711068702522	1.06811724358201	0.143711068702522	0.852005205729463	100	0.143711068702522
"GO:0005615 extracellular space"	0.144900514404963	1.05898953796075	0.144900514404963	0.852005205729463	754	0.144900514404963
"GO:0005815 microtubule organizing center"	0.148182461006184	1.04489141940248	0.148182461006184	0.852005205729463	547	0.148182461006184
"GO:0000793 condensed chromosome"	0.156056279834409	1.01614229707244	0.156056279834409	0.852005205729463	56	0.156056279834409
"GO:0000922 spindle pole"	0.156687750654447	1.01104574386458	0.156687750654447	0.852005205729463	108	0.156687750654447
"GO:0031300 intrinsic component of organelle membrane"	0.159304505280355	1.00063157939942	0.159304505280355	0.852005205729463	122	0.159304505280355
"GO:0000779 condensed chromosome, centromeric region"	0.166836457183356	0.99927630929689	0.166836457183356	0.852005205729463	15	0.166836457183356
"GO:0031312 extrinsic component of organelle membrane"	0.167972266729854	0.977266359934021	0.167972266729854	0.852005205729463	29	0.167972266729854
"GO:0099513 polymeric cytoskeletal fiber"	0.169630455555216	0.956381092225754	0.169630455555216	0.852005205729463	404	0.169630455555216
"GO:0031304 intrinsic component of mitochondrial inner membrane"	0.171056246254164	0.984058853173138	0.171056246254164	0.852005205729463	14	0.171056246254164
"GO:0000780 condensed nuclear chromosome, centromeric region"	0.171209319121785	0.994603290554851	0.171209319121785	0.852005205729463	11	0.171209319121785
"GO:0005605 basal lamina"	0.174966547652787	0.968261117840908	0.174966547652787	0.852005205729463	14	0.174966547652787
"GO:0044429 mitochondrial part"	0.175253443949623	0.933935920238667	0.175253443949623	0.852005205729463	740	0.175253443949623
"GO:0005876 spindle microtubule"	0.175626346922016	0.939174836796415	0.175626346922016	0.852005205729463	43	0.175626346922016
"GO:0031314 extrinsic component of mitochondrial inner membrane"	0.176429941925104	0.977605816862143	0.176429941925105	0.852005205729463	10	0.176429941925105
"GO:0005882 intermediate filament"	0.176468318334318	0.938050416820188	0.176468318334318	0.852005205729463	45	0.176468318334318
"GO:0097539 ciliary transition fiber"	0.176660254001895	0.974222192797876	0.176660254001895	0.852005205729463	10	0.176660254001895
"GO:0005771 multivesicular body"	0.182333221378431	0.922901404875648	0.182333221378431	0.852005205729463	21	0.182333221378431
"GO:0097730 non-motile cilium"	0.185258888373605	0.909555342626538	0.185258888373604	0.852005205729463	27	0.185258888373605
"GO:0005814 centriole"	0.188750134849697	0.88486793814111	0.188750134849697	0.852005205729463	94	0.188750134849697
"GO:0005576 extracellular region"	0.192967966664201	0.867487042873124	0.192967966664201	0.852005205729463	455	0.192967966664201
"GO:0005604 basement membrane"	0.194999615628034	0.864980183523832	0.194999615628034	0.852005205729463	61	0.194999615628034
"GO:0044455 mitochondrial membrane part"	0.198041160857432	0.850144251334964	0.198041160857432	0.852005205729463	156	0.198041160857432
"GO:0098573 intrinsic component of mitochondrial membrane"	0.202388976477266	0.840563633764508	0.202388976477266	0.852005205729463	42	0.202388976477266
"GO:0070013 intracellular organelle lumen"	0.211883950146988	0.800525373579422	0.211883950146988	0.852005205729463	359	0.211883950146988
"GO:0043233 organelle lumen"	0.212212557176688	0.799387847834501	0.212212557176688	0.852005205729463	360	0.212212557176688
"GO:0031974 membrane-enclosed lumen"	0.212212557176688	0.799387847834501	0.212212557176688	0.852005205729463	360	0.212212557176688
"GO:0005819 spindle"	0.217009816775236	0.783660989566775	0.217009816775236	0.852005205729463	136	0.217009816775236
"GO:0045335 phagocytic vesicle"	0.218048400434697	0.784597653183969	0.218048400434697	0.852005205729463	43	0.218048400434697
"GO:0030863 cortical cytoskeleton"	0.218867830968169	0.780130703492486	0.218867830968169	0.852005205729463	60	0.218867830968169
"GO:0035371 microtubule plus-end"	0.219422337297884	0.798188772062034	0.219422337297884	0.852005205729463	12	0.219422337297884
"GO:0080008 Cul4-RING E3 ubiquitin ligase complex"	0.227069409316455	0.756463098539237	0.227069409316455	0.852005205729463	24	0.227069409316455
"GO:0000777 condensed chromosome kinetochore"	0.233540878602654	0.730252498230165	0.233540878602654	0.852005205729463	73	0.233540878602654
"GO:1990752 microtubule end"	0.2364228751492	0.731298538225724	0.2364228751492	0.852005205729463	17	0.2364228751492
"GO:0036064 ciliary basal body"	0.240110204688137	0.707721389884581	0.240110204688137	0.852005205729463	89	0.240110204688137
"GO:0044450 microtubule organizing center part"	0.242148099187585	0.700476711692802	0.242148099187585	0.852005205729463	128	0.242148099187585
"GO:0045171 intercellular bridge"	0.243942937220917	0.697554077563583	0.243942937220917	0.852005205729463	44	0.243942937220917
"GO:0005930 axoneme"	0.248460931835434	0.681761511932336	0.248460931835434	0.852005205729463	67	0.248460931835434
"GO:0015629 actin cytoskeleton"	0.249480660632334	0.676981659769049	0.249480660632334	0.852005205729463	149	0.249480660632334
"GO:0043296 apical junction complex"	0.253022060646393	0.678135644894083	0.253022060646393	0.852005205729463	11	0.253022060646393
"GO:0030173 integral component of Golgi membrane"	0.259090811106597	0.65123095463998	0.259090811106597	0.852005205729463	40	0.259090811106597
"GO:0005793 endoplasmic reticulum-Golgi intermediate compartment"	0.260361870794591	0.645681476386184	0.260361870794591	0.852005205729463	58	0.260361870794591
"GO:0043220 Schmidt-Lanterman incisure"	0.261882306175177	0.64851900118367	0.261882306175177	0.852005205729463	12	0.261882306175177
"GO:0031228 intrinsic component of Golgi membrane"	0.261893454593903	0.642214387143531	0.261893454593903	0.852005205729463	42	0.261893454593903
"GO:0033268 node of Ranvier"	0.272173633151254	0.616373960780586	0.272173633151254	0.852005205729463	12	0.272173633151254
"GO:0005839 proteasome core complex"	0.274150597416011	0.611646089835807	0.274150597416011	0.852005205729463	18	0.274150597416011
"GO:0031225 anchored component of membrane"	0.276088220250654	0.596019984539341	0.276088220250654	0.852005205729463	95	0.276088220250654
"GO:0032154 cleavage furrow"	0.27668298055599	0.596413446020966	0.27668298055599	0.852005205729463	38	0.27668298055599
"GO:0097610 cell surface furrow"	0.27668298055599	0.596413446020966	0.27668298055599	0.852005205729463	38	0.27668298055599
"GO:0000776 kinetochore"	0.276924569149873	0.593379057581342	0.276924569149873	0.852005205729463	105	0.276924569149873
"GO:0005581 collagen trimer"	0.279317139404101	0.586515352372832	0.279317139404101	0.852005205729463	61	0.279317139404101
"GO:0016324 apical plasma membrane"	0.282604004813797	0.575782123605012	0.282604004813797	0.852005205729463	195	0.282604004813797
"GO:0031967 organelle envelope"	0.285546830662871	0.56720978193792	0.285546830662871	0.852005205729463	131	0.285546830662871
"GO:0031975 envelope"	0.285546830662871	0.56720978193792	0.285546830662871	0.852005205729463	131	0.285546830662871
"GO:0005635 nuclear envelope"	0.295492787835694	0.538218601903434	0.295492787835694	0.852005205729463	118	0.295492787835694
"GO:0042470 melanosome"	0.299385984064734	0.527851333897018	0.299385984064734	0.852005205729463	87	0.299385984064734
"GO:0048770 pigment granule"	0.299385984064734	0.527851333897018	0.299385984064734	0.852005205729463	87	0.299385984064734
"GO:0005874 microtubule"	0.310931275360568	0.493461246425216	0.310931275360568	0.852005205729463	318	0.310931275360568
"GO:0042612 MHC class I protein complex"	0.311885846599556	0.495755533204487	0.311885846599556	0.852005205729463	24	0.311885846599556
"GO:0016363 nuclear matrix"	0.31414701776924	0.485252579938577	0.31414701776924	0.852005205729463	82	0.31414701776924
"GO:0005929 cilium"	0.318528569506798	0.472277964128064	0.318528569506798	0.852005205729463	185	0.318528569506798
"GO:0019898 extrinsic component of membrane"	0.318711568418943	0.471859170977663	0.318711568418943	0.852005205729463	166	0.318711568418943
"GO:0043005 neuron projection"	0.322108872336547	0.461942019287735	0.322108872336547	0.852005205729463	629	0.322108872336547
"GO:0043025 neuronal cell body"	0.322796278095798	0.460243218751805	0.322796278095798	0.852005205729463	271	0.322796278095798
"GO:0031301 integral component of organelle membrane"	0.323319073695137	0.459259396283546	0.323319073695137	0.852005205729463	117	0.323319073695137
"GO:0030425 dendrite"	0.323577988953773	0.45809155815181	0.323577988953773	0.852005205729463	256	0.323577988953773
"GO:0000228 nuclear chromosome"	0.324604429596323	0.45589306325248	0.324604429596323	0.852005205729463	71	0.324604429596323
"GO:0005741 mitochondrial outer membrane"	0.331044643689385	0.437694732159799	0.331044643689385	0.852005205729463	114	0.331044643689385
"GO:0005881 cytoplasmic microtubule"	0.342271975683149	0.407845735594459	0.342271975683149	0.852005205729463	46	0.342271975683149
"GO:0016235 aggresome"	0.34494645481062	0.401255686718552	0.34494645481062	0.852005205729463	27	0.34494645481062
"GO:0001891 phagocytic cup"	0.34800611763925	0.395104492711877	0.348006117639251	0.852005205729463	16	0.348006117639251
"GO:0043679 axon terminus"	0.348404046951557	0.391311458349262	0.348404046951557	0.852005205729463	38	0.348404046951557
"GO:0030139 endocytic vesicle"	0.350118499117793	0.385762985244082	0.350118499117793	0.852005205729463	93	0.350118499117793
"GO:0042611 MHC protein complex"	0.35310858544645	0.379742191380786	0.35310858544645	0.852005205729463	33	0.35310858544645
"GO:0031968 organelle outer membrane"	0.355271474437226	0.371609169422451	0.355271474437226	0.852005205729463	133	0.355271474437226
"GO:0098803 respiratory chain complex"	0.356107870980716	0.370713908412191	0.356107870980716	0.852005205729463	57	0.356107870980716
"GO:0019867 outer membrane"	0.362491311616548	0.352254056833109	0.362491311616548	0.852005205729463	135	0.362491311616548
"GO:0030670 phagocytic vesicle membrane"	0.362653561305519	0.352958481512546	0.362653561305519	0.852005205729463	39	0.362653561305519
"GO:0046930 pore complex"	0.362762287286932	0.355293704742076	0.362762287286932	0.852005205729463	18	0.362762287286932
"GO:0030666 endocytic vesicle membrane"	0.365735076540392	0.344681122261498	0.365735076540392	0.852005205729463	40	0.365735076540392
"GO:0120038 plasma membrane bounded cell projection part"	0.366880828277947	0.340181217445026	0.366880828277947	0.852005205729463	942	0.366880828277947
"GO:0044463 cell projection part"	0.366880828277947	0.340181217445026	0.366880828277947	0.852005205729463	942	0.366880828277947
"GO:0005856 cytoskeleton"	0.371994678931828	0.326647404594436	0.371994678931828	0.852005205729463	626	0.371994678931828
"GO:0005747 mitochondrial respiratory chain complex I"	0.372096986613501	0.328858426732032	0.372096986613501	0.852005205729463	36	0.372096986613501
"GO:0045271 respiratory chain complex I"	0.372096986613501	0.328858426732032	0.372096986613501	0.852005205729463	36	0.372096986613501
"GO:0030964 NADH dehydrogenase complex"	0.372096986613501	0.328858426732032	0.372096986613501	0.852005205729463	36	0.372096986613501
"GO:0005811 lipid droplet"	0.377647646767119	0.312711606426977	0.377647646767119	0.852005205729463	52	0.377647646767119
"GO:0031233 intrinsic component of external side of plasma membrane"	0.378250978258137	0.315116068916397	0.378250978258137	0.852005205729463	13	0.378250978258137
"GO:0045121 membrane raft"	0.382273048916078	0.299728976094635	0.382273048916078	0.852005205729463	228	0.382273048916078
"GO:0098857 membrane microdomain"	0.382273048916078	0.299728976094635	0.382273048916078	0.852005205729463	228	0.382273048916078
"GO:0044306 neuron projection terminus"	0.386326264249949	0.289873864270537	0.386326264249949	0.852005205729463	49	0.386326264249949
"GO:0098800 inner mitochondrial membrane protein complex"	0.386818639539684	0.288456261663553	0.386818639539684	0.852005205729463	92	0.386818639539684
"GO:0010494 cytoplasmic stress granule"	0.387170369265846	0.288168001156818	0.387170369265846	0.852005205729463	29	0.387170369265846
"GO:0031410 cytoplasmic vesicle"	0.393973985342584	0.26901457002313	0.393973985342584	0.852005205729463	998	0.393973985342584
"GO:0097225 sperm midpiece"	0.396155816225131	0.268056917616605	0.396155816225131	0.852005205729463	12	0.396155816225131
"GO:0072686 mitotic spindle"	0.396714431722189	0.262730911811925	0.396714431722189	0.852005205729463	42	0.396714431722189
"GO:0032433 filopodium tip"	0.398401887220859	0.263623168259902	0.398401887220859	0.852005205729463	10	0.398401887220859
"GO:0070069 cytochrome complex"	0.398812846807159	0.259931634485591	0.398812846807159	0.852005205729463	20	0.398812846807159
"GO:0098552 side of membrane"	0.39890147237865	0.256332690083364	0.39890147237865	0.852005205729463	246	0.39890147237865
"GO:0044297 cell body"	0.398943758766373	0.256212738273637	0.398943758766373	0.852005205729463	334	0.398943758766373
"GO:0097708 intracellular vesicle"	0.399335877803161	0.255105742715502	0.399335877803161	0.852005205729463	931	0.399335877803161
"GO:0005764 lysosome"	0.405892320619346	0.23826480714619	0.405892320619346	0.852005205729463	226	0.405892320619346
"GO:0098798 mitochondrial protein complex"	0.407149555518709	0.235428597576216	0.407149555518709	0.852005205729463	112	0.407149555518709
"GO:0016328 lateral plasma membrane"	0.408226179906801	0.23301681591821	0.408226179906801	0.852005205729463	38	0.408226179906801
"GO:0016529 sarcoplasmic reticulum"	0.409726299652924	0.230330197947248	0.409726299652924	0.852005205729463	27	0.409726299652924
"GO:0000323 lytic vacuole"	0.409755536811232	0.228307301256061	0.409755536811232	0.852005205729463	227	0.409755536811232
"GO:0000421 autophagosome membrane"	0.409756810443902	0.230091711895448	0.409756810443902	0.852005205729463	21	0.409756810443902
