"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"GO:0008574 ATP-dependent microtubule motor activity, plus-end-directed"	0.0529043117076815	1.75112470768979	0.0529043117076815	0.832819769404687	12	0.0529043117076815
"GO:1990939 ATP-dependent microtubule motor activity"	0.0542177273664601	1.70520642981991	0.0542177273664601	0.832819769404687	15	0.0542177273664601
"GO:0003777 microtubule motor activity"	0.0648372805440303	1.53199934394201	0.0648372805440303	0.832819769404687	59	0.0648372805440303
"GO:0004896 cytokine receptor activity"	0.0783736822438953	1.43001888994475	0.0783736822438953	0.832819769404687	72	0.0783736822438953
"GO:0061134 peptidase regulator activity"	0.0824352233902258	1.39530311917778	0.0824352233902258	0.832819769404687	136	0.0824352233902258
"GO:0017111 nucleoside-triphosphatase activity"	0.0880805101513484	1.35343715260289	0.0880805101513484	0.832819769404687	626	0.0880805101513484
"GO:0019894 kinesin binding"	0.103655688496758	1.28400456484411	0.103655688496758	0.832819769404687	27	0.103655688496758
"GO:0016462 pyrophosphatase activity"	0.105405459760557	1.25194628345209	0.105405459760557	0.832819769404687	662	0.105405459760557
"GO:0016818 hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	0.105917196445408	1.24913897837309	0.105917196445408	0.832819769404687	665	0.105917196445408
"GO:0016817 hydrolase activity, acting on acid anhydrides"	0.105917196445408	1.24913897837309	0.105917196445408	0.832819769404687	665	0.105917196445408
"GO:0003774 motor activity"	0.115946950147226	1.19981381485926	0.115946950147226	0.832819769404687	111	0.115946950147226
"GO:0003924 GTPase activity"	0.118640283357187	1.18381751781242	0.118640283357187	0.832819769404687	178	0.118640283357187
"GO:0005539 glycosaminoglycan binding"	0.126193371663846	1.14965961621411	0.126193371663846	0.832819769404687	108	0.126193371663846
"GO:0042287 MHC protein binding"	0.131476555976905	1.14624333001001	0.131476555976905	0.832819769404687	20	0.131476555976905
"GO:0046983 protein dimerization activity"	0.132629450173103	1.11456000309747	0.132629450173103	0.832819769404687	659	0.132629450173103
"GO:0046982 protein heterodimerization activity"	0.139333454489023	1.0847996859922	0.139333454489023	0.832819769404687	249	0.139333454489023
"GO:0042623 ATPase activity, coupled"	0.14750639254196	1.04820728261154	0.14750639254196	0.832819769404687	283	0.14750639254196
"GO:0004888 transmembrane signaling receptor activity"	0.148329538548046	1.04421121789135	0.148329538548046	0.832819769404687	618	0.148329538548046
"GO:0099600 transmembrane receptor activity"	0.148329538548046	1.04421121789135	0.148329538548046	0.832819769404687	618	0.148329538548046
"GO:0008022 protein C-terminus binding"	0.149462703915664	1.04142869538544	0.149462703915664	0.832819769404687	124	0.149462703915664
"GO:0015267 channel activity"	0.151974627862348	1.0294661065943	0.151974627862348	0.832819769404687	263	0.151974627862348
"GO:0022803 passive transmembrane transporter activity"	0.151974627862348	1.0294661065943	0.151974627862348	0.832819769404687	263	0.151974627862348
