"stat.mean"	"HJV5JBCXX_PR0478_01A0202"	"HJV5JBCXX_PR0478_02A0403"	"HJV5JBCXX_PR0478_03A1105"	"HJV5JBCXX_PR0478_04A1206"	"score"	"pval"	"FDR"
"Neurodegenerative_diseases"	0.769985615203236	-0.079741581105336	-0.972977769095998	0.0145599802687478	4.11810183074553	2.59269058060781	0.342314771570664	0.679079113882757
"Energy_metabolism"	0.567715085404337	-2.10233510514029	-1.51822964800006	0.097790616330874	5.79363447842682	4.75599492394902	0.23854255568899	0.679079113882757
"Infectious_diseases"	0.378120844563159	0.0961387737713091	-1.11823047478862	-0.322164150905169	2.85673923017511	1.77833339014363	0.40565268304156	0.679079113882757
"Lipid_metabolism"	0.376739664221741	1.30712046455459	-0.0877291462477761	0.858341053171277	-0.570773714591129	-0.465911989863333	0.686668899550219	0.858336124437774
"Nervous_system"	0.373173270462534	0.738899957164021	0.399935255447279	-1.08906072712435	1.44291859636318	-0.392488671686235	0.787671905447832	0.875191006053147
"Digestive_system"	0.366394318067517	0.430975704542757	-0.632495592109846	0.0791229680540602	1.5879741917831	0.934308523702124	0.417956404482724	0.679079113882757
"Circulatory_system"	0.26936892710188	0.261942121548203	-0.0606633021391859	-0.557413094247743	1.43360998324625	0.337459034794745	0.769747846173051	0.875191006053147
"Cell_motility"	0.211893383732358	1.67536816223603	-1.02300207683116	-0.794899621035898	0.990107070560465	-0.228579317940152	0.900579847643083	0.947978786992719
"Development"	0.149829359149965	0.401231844872581	-0.653857948452808	-0.180666452004307	1.03260999218439	0.552284821880155	0.563058917158322	0.750745222877762
"Drug_resistance"	0.137417218718421	-0.228178725451817	0.598040487634132	0.376341017414239	-0.196533904722869	-0.0950273247454726	0.867510872111653	0.937849591472058
"Immune_system"	0.131741118438351	0.226983178369383	-1.3529483814552	-0.897972512689763	2.55090218952898	1.38944743996252	0.540059863401168	0.744910156415404
"Endocrine_and_metabolic_diseases"	0.128202397134029	-1.35579973977355	-0.673443141453483	-0.0184569180690449	2.5605093878322	2.28564767549509	0.228742128346428	0.679079113882757
"Nucleotide_metabolism"	0.121085117157444	-0.493880321302164	-0.447449937459008	0.45388401878691	0.971786708604037	1.18350049307606	0.0450245270819136	0.225122635409568
"Excretory_system"	0.104522714587887	1.3284362006015	0.0303449071957375	-1.05960370397417	0.118913454528484	-1.14973567862146	0.320011978774545	0.679079113882757
"Signaling_molecules_and_interaction"	0.0958488495364495	0.626286611021669	-2.15147756434853	0.971210864480705	0.937375486991957	1.71688865239976	0.34190639252244	0.679079113882757
"Xenobiotics_biodegradation_and_metabolism"	0.0935815682619303	-0.500362907768773	-0.882689959132746	0.793828264962554	0.963550874986686	1.57021600342538	0.0172836221393399	0.182900804919052
"Transport_and_catabolism"	0.0808494713277458	0.887493861220483	0.415120527036116	-1.61119786147231	0.631981358526695	-1.14091544560111	0.424424446176723	0.679079113882757
