"stat.mean"	"HJV5JBCXX_PR0478_01A0202"	"HJV5JBCXX_PR0478_02A0403"	"HJV5JBCXX_PR0478_03A1105"	"HJV5JBCXX_PR0478_04A1206"	"score"	"pval"	"FDR"
"K00901"	0.237809443866006	2.09903541906987	-0.538977622130153	1.05800490710256	-1.66682492857826	-1.08443890920771	0.625116337487116	0.74780355194657
"K10408"	0.18863388906489	0.263463178840903	-0.156242804848014	0.895964599836205	-0.248649417569533	0.270047404136892	0.70106582994991	0.74780355194657
"K09228"	0.14755887649121	3.59803175893997	0.0379323342196581	-0.583812601224615	-2.46191598597017	-3.34084634017721	0.238788551511644	0.496347440401849
"K00710"	0.0588622629406986	0.360719694336841	1.23970433493823	0.287636366034361	-1.65261134354664	-1.48269950339368	0.29847060152378	0.496347440401849
"K09229"	0.0318089687788143	1.00638747361613	-0.705019187030767	1.04458543195419	-1.21871784342429	-0.237750349027732	0.882328515290248	0.882328515290248
"K04257"	0.0248350123869096	-0.0945567292600033	-0.330296792310776	0.556753058231954	-0.0325594871135356	0.474523546344599	0.273483729052451	0.496347440401849
"K04613"	0.024342226255566	-0.076217929702173	-0.11536648795915	0.263976239836214	0.0249770828473731	0.240268870172455	0.185673032721614	0.496347440401849
"K04614"	0.00745011088653093	-0.104141747545362	-0.0963404409396364	0.230191318357582	9.13136735397929e-05	0.21538241025806	0.202249171220557	0.496347440401849
"K09230"	-0.216410735292352	0.0849142028103257	0.896323162335439	0.0444878136221183	-1.89136811993729	-1.41405883573047	0.310217150251155	0.496347440401849
"K01530"	-0.110170774998371	-0.868132441490917	-0.701009423464531	2.04028203158918	-0.911823266627217	1.34880031495871	0.457901602400519	0.610535469867359
"K06751"	-0.128157321346572	-0.367558875857529	-2.38374178059232	1.34096344433961	0.89770792672395	2.4949860137567	0.136868504975446	0.496347440401849
"K00799"	-0.0912259403411348	-1.19038213042929	-0.608414542612985	0.500427211852342	0.933465699825394	1.61634479236001	0.0468436989381001	0.249833061003201
"K11251"	-0.0694436295360135	-0.889046251243293	-0.990947689567698	0.487231727002645	1.11498769566429	1.74110668173896	0.0317742098423073	0.249833061003201
"K16449"	-0.0581875933456905	-0.359027047764895	0.614465915687672	-0.786667685575159	0.29847844426962	-0.371814054614158	0.660703463206834	0.74780355194657
"K13963"	-0.0501142114778319	-0.934832109276652	-1.03985631133874	0.685952175070109	1.08827939963395	1.87445999765973	0.0120795500628364	0.193272801005382
"K14165"	-0.0429358228282591	-0.00977903398671519	-0.36025117973659	0.344106475275772	-0.145819552865503	0.284158568066787	0.445035832714143	0.610535469867359
