baseMean	log2FoldChange	lfcSE	pvalue	padj
Plekhg2	1402.05947051089	-0.0166491917257209	0.0728182764021475	0.450019418537891	0.999958094925527
Plekhg3	576.759140527084	0.00596050383935858	0.0720649734506429	0.739122959733466	0.999958094925527
Plekhg1	0.739135128964882	0.000411285391815394	0.074023966527275	0.680630689633012	NA
Plekhg6	12.4510174023047	-0.00203759913817412	0.0740202640089116	0.427231453721836	0.999958094925527
Plekhg5	88.5686283841043	0.00277570350369499	0.0737196035495957	0.714050487873917	0.999958094925527
Nsa2	1299.60963409144	0.00446872868712488	0.0695589512360489	0.855204672022904	0.999958094925527
Nampt	1484.16029565458	0.00704827579019807	0.0693670144742725	0.780876825573829	0.999958094925527
Vmo1	0.246378376321627	0.000344134639790627	0.0740228568718565	0.821923958996323	NA
Man2a1	1748.23663582705	0.0129993655349094	0.0696682937559933	0.626816889067585	0.999958094925527
F930015N05Rik	0.810033077205118	-0.000398724597043224	0.0740243069632022	0.631329514624404	NA
4931406P16Rik	1473.19262882896	-0.0114668296895749	0.0709809988169307	0.620134152100757	0.999958094925527
Vwf	8.37441318157242	0.0022964875495759	0.0740651507956948	0.113448660212977	0.868682464299429
Mier1	3071.97616895686	-0.0153847732043819	0.0677009285846121	0.611042569752386	0.999958094925527
Mier2	775.632293040959	0.0100010615469825	0.0722147147686271	0.604818681508085	0.999958094925527
Mier3	1703.88071461168	-0.418388462684275	0.21597297244565	0.00167795484605141	0.116370033552088
Aqp11	12.5913668788557	0.000992847282688073	0.0740110088748517	0.378132519361842	0.999958094925527
1810010H24Rik	25.8105627609382	0.000698607615210989	0.073962891277657	0.814601189725033	0.999958094925527
Tubal3	4.98640779189218	0.00142318307702955	0.0740414612405493	0.134638742000741	NA
Dag1	703.895022605678	-0.0369384199814003	0.0854253718174274	0.0484738603282437	0.65363116178502
Myadm	759.655483702405	-0.0368756080195462	0.0841957911925575	0.086817168045688	0.792744535389516
Gm15008	3.81824717938876	-0.000317193594434528	0.0740162682537968	0.596943927269169	NA
