"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"Signaling_molecules_and_interaction"	0.0708915692434087	1.47097179621782	0.0708915692434087	0.955521693371033	478	0.0708915692434087
"Cell_growth_and_death"	0.0711705726079275	1.46852867580213	0.0711705726079275	0.955521693371033	571	0.0711705726079275
"Cancers"	0.119834408505973	1.17631762957045	0.119834408505973	0.955521693371033	885	0.119834408505973
"Endocrine_and_metabolic_diseases"	0.14448690886505	1.06156559320331	0.14448690886505	0.955521693371033	309	0.14448690886505
"Immune_system"	0.16369187064213	0.979708182374355	0.16369187064213	0.955521693371033	824	0.16369187064213
"Amino_acid_metabolism"	0.276894710959687	0.592704846610754	0.276894710959687	0.955521693371033	225	0.276894710959687
"Cell_motility"	0.279071001045307	0.586370420380104	0.279071001045307	0.955521693371033	177	0.279071001045307
"Development"	0.282148765888636	0.5768548362576	0.282148765888636	0.955521693371033	262	0.282148765888636
"Metabolism_of_other_amino_acids"	0.354417354290846	0.374003431404342	0.354417354290846	0.955521693371033	95	0.354417354290846
"Nucleotide_metabolism"	0.442010621058856	0.145993050925482	0.442010621058856	0.955521693371033	179	0.442010621058856
"Replication_and_repair"	0.455721833353525	0.11134383568652	0.455721833353525	0.955521693371033	159	0.455721833353525
"Immune_diseases"	0.480604368329013	0.0486773344999591	0.480604368329013	0.955521693371033	202	0.480604368329013
"Energy_metabolism"	0.48823539340318	0.0295331968037011	0.48823539340318	0.955521693371033	184	0.48823539340318
"Transport_and_catabolism"	0.499909190940654	0.000227665255879348	0.499909190940654	0.955521693371033	701	0.499909190940654
"Translation"	0.0444783066289666	-1.70333102508249	0.0444783066289666	0.679230832842539	423	0.0444783066289666
"Folding,_sorting_and_degradation"	0.0551258874356513	-1.59969890169216	0.0551258874356513	0.679230832842539	443	0.0551258874356513
"Nervous_system"	0.0685445001379487	-1.48847893888018	0.0685445001379487	0.679230832842539	412	0.0685445001379487
"Aging"	0.0850164853426631	-1.37852654856607	0.0850164853426632	0.679230832842539	136	0.0850164853426631
"Carbohydrate_metabolism"	0.140542119730989	-1.07970667306779	0.140542119730989	0.679230832842539	297	0.140542119730989
"Circulatory_system"	0.15400581167473	-1.02073246118412	0.15400581167473	0.679230832842539	203	0.15400581167473
"Transcription"	0.154310758806592	-1.02058161176658	0.154310758806592	0.679230832842539	196	0.154310758806592
"Lipid_metabolism"	0.180201577663685	-0.915855819162691	0.180201577663685	0.679230832842539	303	0.180201577663685
"Substance_dependence"	0.193102537072181	-0.868507921900013	0.193102537072181	0.679230832842539	179	0.193102537072181
"Excretory_system"	0.197652772441938	-0.852861870040163	0.197652772441938	0.679230832842539	119	0.197652772441938
"Glycan_biosynthesis_and_metabolism"	0.205597058941963	-0.823215931997237	0.205597058941963	0.679230832842539	211	0.205597058941963
"Sensory_system"	0.223244208338392	-0.762395843530258	0.223244208338392	0.679230832842539	262	0.223244208338392
"Environmental_adaptation"	0.242127195732938	-0.701635770638129	0.242127195732938	0.679230832842539	109	0.242127195732938
"Cardiovascular_diseases"	0.272188617753147	-0.606920370815198	0.272188617753147	0.679230832842539	255	0.272188617753147
"Digestive_system"	0.277396815115461	-0.591275264150709	0.277396815115461	0.679230832842539	280	0.277396815115461
"Neurodegenerative_diseases"	0.286361225872448	-0.564586353173746	0.286361225872448	0.679230832842539	296	0.286361225872448
"Drug_resistance"	0.303866425219031	-0.513843200078099	0.303866425219031	0.679230832842539	197	0.303866425219031
"Metabolism_of_cofactors_and_vitamins"	0.331568675331651	-0.43634686584199	0.331568675331651	0.69988281691354	169	0.331568675331651
"Endocrine_system"	0.371732325802553	-0.327340394303284	0.371732325802553	0.69988281691354	633	0.371732325802553
"Metabolism_of_terpenoids_and_polyketides"	0.38495199465002	-0.295051117970494	0.38495199465002	0.69988281691354	32	0.38495199465002
"Membrane_transport"	0.401046394056692	-0.251830237364359	0.401046394056692	0.69988281691354	43	0.401046394056692
"Cellular_community_-_eukaryotes"	0.42340090959447	-0.193262286210352	0.42340090959447	0.69988281691354	438	0.42340090959447
"Xenobiotics_biodegradation_and_metabolism"	0.423613283921353	-0.193220178207822	0.423613283921353	0.69988281691354	89	0.423613283921353
"Biosynthesis_of_other_secondary_metabolites"	0.451884263839006	-0.122118200018427	0.451884263839006	0.715483417745093	26	0.451884263839006
