"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"K13963"	0.169801473614747	1.00703208450709	0.169801473614747	0.695607023289668	10	0.169801473614747
"K14165"	0.177190496887104	0.969166205945274	0.177190496887104	0.695607023289668	11	0.177190496887104
"K06751"	0.333789014590488	0.434700090295091	0.333789014590488	0.695607023289668	20	0.333789014590488
"K11251"	0.432267916151535	0.174411533073038	0.432267916151535	0.695607023289668	12	0.432267916151535
"K01530"	0.438749834222859	0.158367406754593	0.438749834222859	0.695607023289668	10	0.438749834222859
"K09228"	0.203265526120995	-0.831900999323315	0.203265526120995	0.698747180121187	185	0.203265526120995
"K00901"	0.347868415665937	-0.403089963631582	0.347868415665937	0.698747180121187	10	0.347868415665937
"K00710"	0.348233382300235	-0.397491345215778	0.348233382300235	0.698747180121187	16	0.348233382300235
"K04257"	0.352416710876692	-0.379755527891698	0.352416710876692	0.698747180121187	115	0.352416710876692
"K09230"	0.395392004329998	-0.269742950523558	0.395392004329998	0.698747180121187	17	0.395392004329998
"K16449"	0.424866851506628	-0.19394176346752	0.424866851506628	0.698747180121187	12	0.424866851506628
"K04613"	0.448904418582665	-0.130963923054894	0.448904418582665	0.698747180121187	14	0.448904418582665
"K04614"	0.45063484098543	-0.126708211785636	0.45063484098543	0.698747180121187	13	0.45063484098543
"K09229"	0.450675776561143	-0.126184879005876	0.450675776561143	0.698747180121187	15	0.450675776561143
"K10408"	0.462847575483794	-0.0956381549794879	0.462847575483794	0.698747180121187	11	0.462847575483794
"K00799"	0.48881591205797	-0.0285386694172802	0.48881591205797	0.698747180121187	15	0.48881591205797
