TF	Number_of_ChIPexp	p_value_mean	baseMean	log2FoldChange	lfcSE	pvalue	padj
NELFB	1	1.65136721632e-06	1.23484015784e-11	0.0669487678069	0.277871225304	6.56445746944e-16	0.0814371459233
NELFA	4	0.0371532903428	0.0385006706333	0.0962172480122	0.0729897012641	0.0690554879328	0.00379145056148
MEN1	3	6.91166099716e-05	1.29210132124e-08	0.133713685432	0.268348819129	2.02305369838e-11	0.168163839689
NELFE	2	2.42588489116e-09	3.94349024237e-21	0.112722906307	0.49287407182	1.97040226721e-21	0.194610885759
HSF2	3	0.0165760463603	0.00808684914602	0.459526656246	0.210627494761	0.00154967169512	0.00103171548732
LHX2	2	0.134343167994	0.237771763934	0.14324141741	0.168087081071	0.341460899877	0.0223858567958
LHX3	2	0.103355170454	0.0486805445478	0.294803636526	0.334456938151	0.0251347862963	0.0977591387906
NR0B1	3	0.12961235654	0.0620850827748	0.293076281568	0.33442589416	0.027054290022	0.222191815969
STA5A	22	3.21777449769e-14	3.17653555948e-31	0.272706279242	0.314647121482	2.82326848918e-32	4.48283984675e-05
STA5B	17	9.46893321431e-19	6.40418661326e-43	0.32590582108	0.336171453467	4.34640263137e-42	2.49607933215e-06
KDM2A	2	3.07662495354e-05	6.99148115798e-10	0.0257676906979	0.231959597242	5.39297415822e-11	0.122317167373
KDM2B	14	3.83382348385e-05	3.43027501702e-08	0.0304763957326	0.220012576465	9.8683041532e-13	0.364903466078
WDR5	4	1.70111775786e-07	6.24555135485e-17	0.125319828341	0.397397948333	1.90373561985e-16	0.240574205006
PIT1	3	5.79695500083e-05	1.6594208209e-08	0.0483925862263	0.253679986148	2.67388889159e-08	0.000120180696317
EHF	1	0.00318970881357	7.79938030418e-05	0.132540919916	0.407168969734	4.54103681436e-07	0.172748950757
GATA6	6	0.0204401093727	0.000485544458122	0.414403011932	0.372977672836	0.000417352342733	0.113914361769
GATA4	15	2.31536384487e-08	2.9754836088e-17	0.00571513110962	0.175143255843	5.99067540335e-19	0.372943694998
GATA2	22	9.35816708126e-08	1.40292882512e-16	0.280150422372	0.220200745379	1.27763552107e-16	0.00649084579804
GATA3	19	6.84970694926e-08	5.95778714787e-19	0.0601084284514	0.0975373783323	1.48818791175e-13	0.00290075300009
GATA1	49	3.15795293782e-11	6.32748089913e-25	0.315466483125	0.136221918658	2.17777323524e-25	0.00530376840275
NOTC1	5	0.000135209341454	7.11938521335e-10	0.215796739513	0.494457810093	2.33893255732e-09	0.254330928377
CCND1	1	6.23505938869e-05	8.17618102149e-09	0.0391669814447	0.0558547088869	3.34936710097e-09	0.0157293156978
MAX	7	1.52972428522e-07	2.38234816787e-17	0.280774201784	0.420429186654	6.54488582984e-16	0.0455101682884
MAZ	2	6.00581700494e-08	2.68333167056e-16	0.170062446761	0.294564232236	7.90438756944e-19	0.0735409878144
AHR	11	0.0105178076187	0.00391915570022	0.165280621714	0.147853424924	0.000672486686783	0.00199846514833
CSN1	2	8.751356457e-06	1.12460799521e-12	0.0280842982914	0.191990675747	4.96206995199e-10	0.0170596102605
MAF	6	5.65338963628e-14	2.41607525453e-33	0.193837337364	0.482697684269	5.06668446789e-30	0.000504193943971
CTCF	116	3.37418328325e-06	2.32424617227e-07	0.389822166256	0.161194227395	2.78008134081e-19	0.107717856937
ATF7	1	0.00109095257847	1.45621121123e-06	0.241329913252	0.208857739527	4.67875037982e-07	0.0450000907524
BACH2	1	2.11701598607e-07	2.26449932572e-17	0.336521499338	0.342035581879	2.16481673062e-12	7.53604100548e-05
SOX17	8	1.24855051239e-06	5.72878833472e-14	0.0787611602893	0.454105083581	3.27235089859e-14	0.0452521765739
ZIC2	2	0.00886704787727	0.000395156512685	0.476599847937	0.468949133145	8.82795779701e-06	0.070305004103
ZIC3	2	0.147150499536	0.170810373921	0.495237839357	0.464916640735	0.0666705576052	0.0263130663985
DMAP1	2	1.44166703668e-05	1.01690937475e-12	0.251364094505	0.416950670414	4.96561949632e-11	0.117674194895
NFIL3	1	0.0181572575077	0.0318353704641	0.20626473981	0.461128058456	7.73822100841e-06	0.0842274562407
NR1H2	1	0.112196838149	0.0318490277152	0.268145232984	0.35730450825	0.0119285996047	0.488437358653
PEBB	5	7.98219044416e-10	2.65312702795e-24	0.00855361538702	0.217777715524	5.89475422985e-19	0.11123040627
PPARA	4	0.000238270967828	9.54094151741e-07	0.0705864025323	0.270151050337	1.35020307674e-10	0.312635008687
ING1	2	7.54568479876e-09	4.16474850684e-20	0.0304759981019	0.293688193902	1.64568214583e-19	0.398762338021
PHX2A	1	0.213274324475	0.285946532548	0.0877990964393	0.482472337442	0.299381810904	0.121680270086
PSIP1	3	0.357337428478	0.296137771043	0.338867397125	0.310607170059	0.433025206372	0.431662473118
TFAP4	1	3.20012674694e-08	1.18350491913e-16	0.173654729732	0.366068483463	1.65955988602e-20	0.2687967082
PTF1A	8	0.160088015706	0.0531699841238	0.283545311307	0.37644900818	0.0466669805468	0.396998849072
RING2	44	0.00397424855435	0.00187988298912	0.0518956804995	0.304748747364	9.11115381489e-07	0.0366014076185
RING1	2	0.000337061237181	2.67321813232e-07	0.123319459039	0.195578700003	3.54504451828e-09	0.19034207304
PRDM4	4	0.118033633482	0.0594174315979	0.131923444753	0.298472115103	0.0238541135388	0.410512115424
PRDM5	1	0.188750555835	0.369531201366	0.194883803744	0.156000625666	0.146517604948	0.145545299309
CBP	14	3.56992262061e-06	5.12105418278e-15	0.179453280421	0.468529688326	3.47769708938e-12	0.387216962715
PRDM1	3	0.030958357017	0.000757709764336	0.253780073701	0.488369048728	0.00071369544646	0.424295143256
