TF	Number_of_ChIPexp	q_value_mean	baseMean	log2FoldChange	lfcSE	pvalue	padj
NELFB	1	4.52094397791e-06	3.54821159278e-11	0.209618900582	0.502207924291	2.61426639572e-15	0.193407039078
NELFA	4	0.107580435237	0.0495164432508	0.253005715465	0.502207924291	0.083826715298	0.0273225167446
MEN1	3	0.000146776669294	2.94780904445e-08	0.293265764184	0.502207924291	5.27854240842e-11	0.297253414459
NELFE	2	7.16258050873e-09	2.67215607468e-20	0.273709069469	0.502207924291	1.62647750785e-20	0.315547650481
HSF2	3	0.0361951700002	0.0113315725688	0.492913750025	0.502207924291	0.00226951919221	0.00975830898421
LHX2	2	0.26734961805	0.268528310513	0.305167280242	0.502207924291	0.363904339305	0.0912008735079
LHX3	2	0.154775805514	0.0610523956483	0.40407325455	0.502207924291	0.0327907844211	0.21863373897
NR0B1	3	0.179501089997	0.0761800745398	0.40407325455	0.502207924291	0.0348938854261	0.345462617979
STA5A	22	2.32091760117e-13	4.80715714668e-30	0.393511508671	0.502207924291	8.01102433804e-31	0.000884873604532
STA5B	17	1.18072424683e-17	2.90750072242e-41	0.421687009218	0.502207924291	3.94653358929e-40	9.44350013997e-05
KDM2A	2	8.38521896273e-05	1.77325834956e-09	0.137392853551	0.502207924291	1.36782696527e-10	0.247697235572
KDM2B	14	9.31299174898e-05	7.45141080252e-08	0.144127954819	0.502207924291	2.94750663523e-12	0.440677632213
WDR5	4	4.18122199799e-07	3.01646842032e-16	0.288113263834	0.502207924291	8.07753244312e-16	0.362486490597
PIT1	3	0.000201038792923	3.69302476809e-08	0.182050087399	0.502207924291	5.34777778318e-08	0.0018187345376
EHF	1	0.00547445781076	0.00013163266387	0.293096787991	0.502207924291	8.3806126574e-07	0.3028109021
GATA6	6	0.0307030269108	0.000762758422101	0.470022176009	0.502207924291	0.000635832092621	0.238327743056
GATA4	15	9.89953097504e-08	1.46833647652e-16	0.0864889841255	0.502207924291	3.3577365841e-18	0.443972966664
GATA2	22	3.09196837863e-07	6.43363319801e-16	0.399125971362	0.502207924291	5.57737044774e-16	0.0392912532308
GATA3	19	3.22665664582e-07	3.51277320147e-18	0.20031319614	0.502207924291	4.65956766853e-13	0.0212409977748
