TF	Number_of_ChIPexp	t_score_mean	baseMean	log2FoldChange	lfcSE	pvalue	padj
NELFB	1	-0.402725606761	6.6791515532	-1.49897218238	-0.58918827366	-8.00014231672	1.39552318575
NELFA	4	0.0399475383516	1.76938622959	-1.30424882612	-1.45502456098	-1.48349156975	2.67311641901
MEN1	3	-0.360394561421	5.57017857529	-1.10904344508	-0.617828972948	-6.6067530062	0.961474041828
NELFE	2	-0.0812883278911	9.37259360309	-1.21221458247	0.0178632510511	-9.44573383676	0.861049925625
HSF2	3	-0.593897582424	2.41787113713	-0.101733540555	0.80537601312	-2.97979199696	-3.11120952485
LHX2	2	-0.868392422771	-0.7136496937	-1.06645075429	-0.962217696448	0.408544769235	-2.00818873865
LHX3	2	-0.341319466441	1.65839993774	-0.53946621354	0.427684793132	-1.95848812526	-1.29472772428
NR0B1	3	-0.425172170836	1.53789472732	-0.544480087935	-0.427761248925	-1.92661574139	-0.764898503256
STA5A	22	-0.849213446833	11.5814015635	-0.604658002763	0.482727291958	-11.7877960125	-3.91774207436
STA5B	17	-0.89033902722	13.7154224267	-0.451253204047	0.422940596815	-13.5725127214	-4.56629223423
KDM2A	2	-0.383244224009	6.05908711489	-1.94712292404	-0.732425735995	-6.45927831623	1.16351874133
KDM2B	14	-0.78873998021	5.396035695	-1.87390294199	-0.772160660607	-7.03905732289	0.345385329441
WDR5	4	-0.114064886879	8.28460125486	-1.14882598459	-0.26009113383	-8.15047668052	0.704468109681
PIT1	3	0.2868450977	5.52727756125	-1.66077303284	-0.662973701211	-5.44271572712	3.67341038842
EHF	1	-0.590795330972	3.78283078246	-1.1145246289	0.234839956112	-4.91371920895	-0.943403555573
GATA6	6	-0.141624674728	3.30040524462	0.216242382508	0.32399177866	-3.34267161539	-1.20609116404
GATA4	15	-0.717790815411	8.37143015782	-2.52943043701	-0.934050489157	-8.82097334509	0.324070036379
GATA2	22	-0.228346773015	8.19122330641	0.582408624716	0.771536731346	-8.20232257847	-2.48457994908
