GeneName	GeneID	log2FC	pval	FDR	GO:0051707 response to other organism	GO:0098542 defense response to other organism	GO:0009615 response to virus	GO:0051607 defense response to virus	GO:0051704 multi-organism process	GO:0006952 defense response	GO:0035456 response to interferon-beta	GO:0043207 response to external biotic stimulus	GO:0009607 response to biotic stimulus	GO:0002252 immune effector process	GO:0035458 cellular response to interferon-beta	GO:0000281 mitotic cytokinesis	GO:0000910 cytokinesis	GO:0061640 cytoskeleton-dependent cytokinesis	GO:0045087 innate immune response	GO:1903047 mitotic cell cycle process	GO:0009605 response to external stimulus	GO:0006955 immune response	GO:0007059 chromosome segregation	GO:0045088 regulation of innate immune response	GO:0022402 cell cycle process	GO:0000278 mitotic cell cycle	GO:0035455 response to interferon-alpha	GO:0034097 response to cytokine	GO:0034341 response to interferon-gamma	GO:0022414 reproductive process
Plekhg2	101497	-0.0166491917257209	0.450019418537891	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg3	263406	0.00596050383935858	0.739122959733466	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg1	213783	0.000411285391815394	0.680630689633012	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg6	213522	-0.00203759913817412	0.427231453721836	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg5	269608	0.00277570350369499	0.714050487873917	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsa2	59050	0.00446872868712488	0.855204672022904	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nampt	59027	0.00704827579019807	0.780876825573829	0.999958094925527	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Vmo1	327956	0.000344134639790627	0.821923958996323	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Man2a1	17158	0.0129993655349094	0.626816889067585	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F930015N05Rik	654805	-0.000398724597043224	0.631329514624404	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vwf	22371	0.0022964875495759	0.113448660212977	0.868682464299429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Mier1	71148	-0.0153847732043819	0.611042569752386	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mier2	70427	0.0100010615469825	0.604818681508085	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mier3	218613	-0.418388462684275	0.00167795484605141	0.116370033552088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqp11	66333	0.000992847282688073	0.378132519361842	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810010H24Rik	69066	0.000698607615210989	0.814601189725033	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubal3	238463	0.00142318307702955	0.134638742000741	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dag1	13138	-0.0369384199814003	0.0484738603282437	0.65363116178502	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myadm	50918	-0.0368756080195462	0.086817168045688	0.792744535389516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15008	100534633	-0.000317193594434528	0.596943927269169	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sacs	50720	-3.59897096860268e-05	0.993288359900516	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp712	78251	0.00869888463124541	0.611283321111153	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp710	209225	-0.0195722518980061	0.121742607342269	0.892586121429898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp711	245595	0.000329176063433568	0.850962836227465	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp715	69930	-0.0071142465149967	0.78365390340282	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
