gset	gset_gene_num	included_basis_genes	p_value	q_value
map04330	45	0	1.0	1.0
map00650	20	0	1.0	1.0
map00710	20	0	1.0	1.0
map00300	1	0	1.0	1.0
map05120	60	0	1.0	1.0
map00970	44	0	1.0	1.0
map05310	15	0	1.0	1.0
map04650	107	1	0.315034542662	1.0
map04657	70	0	1.0	1.0
map00270	36	0	1.0	1.0
map04659	91	1	0.275276537828	1.0
map04658	78	1	0.241248761848	1.0
map04662	69	0	1.0	1.0
map00563	25	0	1.0	1.0
map04728	111	0	1.0	1.0
map05225	140	0	1.0	1.0
map04726	91	0	1.0	1.0
map04725	94	0	1.0	1.0
map04724	91	0	1.0	1.0
map05221	66	0	1.0	1.0
map05220	75	1	0.233167958564	1.0
map04721	47	0	1.0	1.0
map04720	54	0	1.0	1.0
map00051	31	0	1.0	1.0
map00053	14	0	1.0	1.0
map00052	26	0	1.0	1.0
map05418	119	0	1.0	1.0
map05416	62	0	1.0	1.0
map05414	69	0	1.0	1.0
map05412	59	0	1.0	1.0
map05410	64	0	1.0	1.0
map03010	124	0	1.0	1.0
map04978	32	0	1.0	1.0
map04979	35	0	1.0	1.0
map00280	48	0	1.0	1.0
map00281	2	0	1.0	1.0
map02026	3	0	1.0	1.0
map04973	28	0	1.0	1.0
map02024	6	0	1.0	1.0
map04971	55	0	1.0	1.0
map04976	53	0	1.0	1.0
map04977	18	0	1.0	1.0
map02020	9	0	1.0	1.0
map04975	19	0	1.0	1.0
map04150	130	0	1.0	1.0
map04151	269	1	0.611915981947	1.0
map04152	107	1	0.315034542662	1.0
map00521	8	0	1.0	1.0
map03430	22	0	1.0	1.0
map04270	96	0	1.0	1.0
map03018	75	0	1.0	1.0
map04370	57	0	1.0	1.0
map04371	115	1	0.334074056091	1.0
map00020	30	0	1.0	1.0
map04072	117	1	0.33874922069	1.0
map04071	111	1	0.324622565596	1.0
map03008	69	0	1.0	1.0
map05211	64	0	1.0	1.0
map00450	15	0	1.0	1.0
map00520	44	0	1.0	1.0
map05212	73	1	0.227732155834	1.0
map00590	50	0	1.0	1.0
map00591	22	0	1.0	1.0
map00592	20	0	1.0	1.0
map05213	57	1	0.182809605052	1.0
map03020	28	0	1.0	1.0
map04380	115	3	0.00848000741201	0.784932750071
map00330	39	0	1.0	1.0
map00930	5	0	1.0	1.0
map00626	1	0	1.0	1.0
map00627	5	0	1.0	1.0
map00625	5	0	1.0	1.0
map00623	1	0	1.0	1.0
map00620	36	0	1.0	1.0
map01051	2	0	1.0	1.0
map01055	1	0	1.0	1.0
map05214	61	0	1.0	1.0
map05215	85	0	1.0	1.0
map05216	34	1	0.113529623769	1.0
map05217	43	0	1.0	1.0
map05210	74	0	1.0	1.0
map00230	156	1	0.423529921509	1.0
map04750	84	0	1.0	1.0
map00232	3	0	1.0	1.0
map05218	59	1	0.188567294483	1.0
map05219	35	1	0.116662610596	1.0
map00333	1	0	1.0	1.0
map00480	45	1	0.147379584668	1.0
map05320	45	1	0.147379584668	1.0
map05321	46	1	0.150390884239	1.0
map00523	1	0	1.0	1.0
map05323	68	0	1.0	1.0
map00525	1	0	1.0	1.0
map00524	3	0	1.0	1.0
map00240	93	2	0.0438620440509	1.0
map04614	13	0	1.0	1.0
map04612	68	1	0.213970460385	1.0
map04611	113	0	1.0	1.0
map04610	55	0	1.0	1.0
map03040	127	0	1.0	1.0
map00061	12	0	1.0	1.0
map00790	19	0	1.0	1.0
map00140	32	0	1.0	1.0
map00410	23	0	1.0	1.0
map04921	124	0	1.0	1.0
map04920	59	0	1.0	1.0
map04923	42	0	1.0	1.0
map04922	81	0	1.0	1.0
map04925	63	0	1.0	1.0
map04924	53	0	1.0	1.0
map04926	106	0	1.0	1.0
map04530	134	0	1.0	1.0
map03460	49	0	1.0	1.0
map00660	0	0	1.0	1.0
map04320	21	0	1.0	1.0
map00460	5	0	1.0	1.0
map05140	59	2	0.0190231661581	0.784932750071
map05142	91	0	1.0	1.0
map05143	24	0	1.0	1.0
map05144	37	0	1.0	1.0
map05145	102	3	0.00611005635261	0.784932750071
map05146	83	1	0.254524717237	1.0
map01503	1	0	1.0	1.0
map04810	177	1	0.464512334827	1.0
map00960	3	0	1.0	1.0
map00965	2	0	1.0	1.0
map05134	47	0	1.0	1.0
map05131	60	0	1.0	1.0
map05130	46	1	0.150390884239	1.0
map05133	61	0	1.0	1.0
map05132	70	0	1.0	1.0
map05034	103	0	1.0	1.0
map05030	38	0	1.0	1.0
map05031	52	0	1.0	1.0
map05032	70	0	1.0	1.0
map05033	21	0	1.0	1.0
map04666	77	1	0.238564833546	1.0
map00564	79	0	1.0	1.0
map04664	61	1	0.194283710286	1.0
map00561	46	0	1.0	1.0
map04660	100	0	1.0	1.0
map00562	68	0	1.0	1.0
map04668	100	0	1.0	1.0
map00362	3	0	1.0	1.0
map00361	1	0	1.0	1.0
map00360	11	0	1.0	1.0
map00364	1	0	1.0	1.0
map04712	4	0	1.0	1.0
map04713	74	0	1.0	1.0
map04710	27	0	1.0	1.0
map04711	6	0	1.0	1.0
map00510	46	0	1.0	1.0
map00511	16	0	1.0	1.0
map00512	26	0	1.0	1.0
map00513	37	0	1.0	1.0
map00514	20	0	1.0	1.0
map00515	19	0	1.0	1.0
map00100	17	0	1.0	1.0
map00290	3	0	1.0	1.0
map04964	17	0	1.0	1.0
map04966	21	0	1.0	1.0
map04961	36	0	1.0	1.0
map04960	32	0	1.0	1.0
map04962	37	0	1.0	1.0
map04146	73	0	1.0	1.0
map04145	140	1	0.390173399503	1.0
map04144	228	0	1.0	1.0
map00190	109	0	1.0	1.0
map04142	116	0	1.0	1.0
map04141	155	0	1.0	1.0
map04140	122	0	1.0	1.0
map03420	43	0	1.0	1.0
map03030	34	0	1.0	1.0
map04360	148	0	1.0	1.0
map00030	27	0	1.0	1.0
map00740	7	0	1.0	1.0
map04918	54	0	1.0	1.0
map04919	105	1	0.310188705565	1.0
map04910	112	0	1.0	1.0
map04911	65	0	1.0	1.0
map04912	76	0	1.0	1.0
map04913	34	0	1.0	1.0
map04914	82	2	0.0349503933047	0.948653532556
map04915	78	0	1.0	1.0
map04916	73	0	1.0	1.0
map04917	60	2	0.0196320177242	0.784932750071
map04218	155	1	0.421500598735	1.0
map03450	13	0	1.0	1.0
map04212	63	0	1.0	1.0
map04211	78	0	1.0	1.0
map04210	130	2	0.0788067760023	1.0
map04217	127	2	0.0757267073137	1.0
map04216	36	1	0.11978433117	1.0
map04215	31	0	1.0	1.0
map04214	52	0	1.0	1.0
map00630	26	0	1.0	1.0
map00633	2	0	1.0	1.0
map00920	11	0	1.0	1.0
map00730	9	0	1.0	1.0
map01040	22	0	1.0	1.0
map05206	129	1	0.366107364784	1.0
map05205	159	1	0.429574536224	1.0
map05204	42	0	1.0	1.0
map05203	183	2	0.138465477669	1.0
map05202	138	1	0.38586795473	1.0
map05200	429	4	0.0702784127853	1.0
map00950	7	0	1.0	1.0
map05100	68	2	0.0247873500022	0.784932750071
map04136	30	0	1.0	1.0
map04137	63	0	1.0	1.0
map04130	32	0	1.0	1.0
map05332	41	1	0.135225377393	1.0
map05330	42	1	0.138280360563	1.0
map04138	67	0	1.0	1.0
map04139	25	0	1.0	1.0
map00250	27	0	1.0	1.0
map00254	2	0	1.0	1.0
map04622	50	1	0.162328264558	1.0
map04623	48	1	0.156381059096	1.0
map04620	81	2	0.034179126092	0.948653532556
map04621	145	3	0.0157548740713	0.784932750071
map04626	8	0	1.0	1.0
map04624	37	0	1.0	1.0
map04740	141	0	1.0	1.0
map04742	35	0	1.0	1.0
map04745	20	0	1.0	1.0
map04744	16	0	1.0	1.0
map03070	2	0	1.0	1.0
map04550	102	0	1.0	1.0
