GeneName	HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
Plekhg2	1231	1571	1555	1249
Plekhg3	535	518	617	653
Plekhg1	0	0	3	0
Plekhg6	24	8	14	2
4930592I03Rik	0	0	0	0
Plekhg4	0	0	0	0
Plekhg5	67	85	85	123
Nsa2	1106	1325	1291	1518
Nampt	1431	1322	1521	1701
Vmo1	0	0	1	0
Man2a1	1712	1494	1848	1983
F930015N05Rik	3	0	0	0
4931406P16Rik	1499	1372	1245	1816
Vwf	3	0	18	14
Mier1	2976	2967	2781	3641
Mier2	874	536	894	807
Mier3	1894	1942	1516	1411
Aqp11	0	25	13	13
Aqp12	0	0	0	0
1810010H24Rik	17	6	78	2
Tubal3	0	0	3	19
Dag1	682	916	671	523
Myadm	834	819	606	773
Gm15008	3	4	8	0
Sacs	142	113	149	136
Zfp712	449	542	633	606
Zfp710	257	347	174	260
Zfp711	4	0	12	0
Zfp715	1792	1723	1680	2181
Mllt4	119	273	79	290
Mllt6	904	940	881	753
Zfp719	870	1147	1002	891
Mllt1	2078	1994	1880	2496
Mllt3	1771	1998	1972	2368
Btg4	0	0	11	0
Btg3	10	11	11	15
Btg2	6978	5736	6708	6317
Btg1	27057	33415	26069	32552
Smok3a	0	0	0	0
Smok3b	0	0	0	0
Nupl1	1047	1193	902	1009
Nupl2	380	398	339	519
Hoxd3os1	0	0	0	0
Ttc30a2	0	0	0	0
Npat	1801	1467	1636	1420
Ttc30a1	61	61	79	91
Gga1	1596	1544	1945	2048
Gga3	1729	2366	2302	2636
1700018C11Rik	0	0	0	1
Sorbs1	1763	1278	1674	1354
Sorbs3	45	74	82	64
Sorbs2	14	0	0	0
Tshz2	1	0	0	0
Tshz3	1	49	2	5
Tshz1	1571	1778	1999	1759
Speer4d	0	0	0	0
Speer4e	0	0	0	0
Speer4a	0	0	0	0
Speer4b	0	0	0	0
Speer4c	0	0	0	0
Arhgef28	0	1	0	0
Arhgef25	0	0	0	7
Arhgef26	4	4	12	4
Efnb1	31	65	19	44
Mkl1	4303	5142	4656	5335
Mkl2	1224	956	1236	1233
Lmna	428	521	612	690
Fndc3c1	0	0	1	0
Mcemp1	0	0	0	23
Sorcs1	3	0	0	0
Sorcs2	0	0	0	0
Supt16	1385	1195	1554	1260
Trim34a	2590	2901	3801	4381
Trim34b	32	23	24	38
Prepl	633	613	591	677
4933412E24Rik	0	0	0	0
Cdhr1	16	1	40	15
Cdhr2	0	0	1	0
Cdhr3	0	0	0	0
Cdhr5	0	0	0	0
Gm36633	0	0	2	0
