HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
Plekhg2	10.4142426004466	10.5457542594242	10.5052400089818	10.3079828868534
Plekhg3	9.17214871129505	9.14288478163201	9.19339019851055	9.17647003885026
Plekhg1	-0.438290317228706	-0.43829247055793	-0.434811367533215	-0.438299734866129
Plekhg6	3.64350563913546	3.62317264602939	3.62959274160694	3.61540691841774
Plekhg5	6.45001799848146	6.46706290162575	6.46233541779873	6.49023555839982
Nsa2	10.2919464410851	10.3778410548517	10.3300168528137	10.3701598053444
Nampt	10.5613286151385	10.48417299595	10.5413432898634	10.5508952524513
Vmo1	-1.72608161580563	-1.72609374661297	-1.72550985091315	-1.72613820173945
Man2a1	10.8092786489703	10.6889381276576	10.7987690015489	10.7802094668161
F930015N05Rik	-0.310568817633235	-0.314387036718634	-0.314389910993298	-0.3143950349866
4931406P16Rik	10.5833413651957	10.4989851303762	10.4062195166824	10.5855751246875
Vwf	3.05664995946873	3.05282353415786	3.07349623980776	3.06748675596158
Mier1	11.6203362058639	11.5852223140787	11.4932135308758	11.6308432868782
Mier2	9.68886113799083	9.4393029948541	9.65301056641362	9.55433145031258
Mier3	10.8519137829119	10.8408998562952	10.6353388371145	10.5266795132269
Aqp11	3.63314486875083	3.66319192283707	3.6481202504768	3.64673127522573
1810010H24Rik	4.64440832523648	4.63021711160948	4.70939470578618	4.62474647730529
Tubal3	2.30880062109003	2.30878623587348	2.31224363212246	2.32859511318698
Dag1	9.46439812524627	9.59213384329296	9.41465152591644	9.27137009122075
Myadm	9.64732799422963	9.6173895950578	9.45287635614921	9.51766278874203
Gm15008	1.92821425958342	1.92927968889446	1.93366517894714	1.92435774443199
Sacs	7.09117189269747	7.0543061709375	7.08471034197094	7.05879343509617
Zfp712	9.05919825131023	9.11626128223821	9.15944441653286	9.10155507256705
Zfp710	8.02734739028589	8.09752607280033	7.92689653318406	7.98602181982461
Zfp711	2.00609653925627	2.00101390481517	2.01487726921096	2.00097428731994
Zfp715	10.8767142607558	10.8207985129632	10.7683455775434	10.8822449116405
Mllt4	7.45782567996253	7.60748640608825	7.4015887532009	7.58656779642648
Mllt6	9.82335475278491	9.8226486465201	9.76141841325201	9.63707782608504
Zfp719	9.90676858125522	10.0395599084987	9.9336936245401	9.82075662024926
Mllt1	11.0832046104365	11.0232715567065	10.9445547571947	11.0792109882901
Mllt3	10.937683993712	10.995084110629	10.9489352921932	11.0108081476503
Btg4	1.42734057865304	1.42733271852418	1.44002975268828	1.42730620153339
Btg3	3.53738792780313	3.53809350041737	3.53742970005404	3.54043624571419
Btg2	12.7942219140336	12.5780538371914	12.6735518447888	12.5314809897594
Btg1	14.8392050335962	15.0114121872294	14.7110039692876	14.8352190242078
Nupl1	10.0641625852923	10.1170179337593	9.9313858110861	9.93898247561392
Nupl2	8.66435748099972	8.66627412097032	8.6008076396543	8.70654750106305
Npat	10.7647646506209	10.5980102418656	10.6363936618071	10.4827660076123
Ttc30a1	6.16473639692771	6.16184643746061	6.1777698939531	6.18161233879677
Gga1	10.7694626810727	10.7196262507948	10.8433264986432	10.8113213752026
Gga3	10.9937752457472	11.1941105475307	11.1350484425042	11.1637320411894
1700018C11Rik	-1.72606423884226	-1.72607527567457	-1.72608920605663	-1.72557055230732
Sorbs1	10.7144143857711	10.474893917041	10.6168204987723	10.4190093783677
Sorbs3	6.01946894871852	6.05040319223943	6.05481658031049	6.02897102663085
Sorbs2	1.91248372308785	1.8948054664638	1.8947921437413	1.89476839254598
Tshz2	-1.7254436450604	-1.726111713526	-1.72612844553546	-1.72616029399044
Tshz3	3.81658690703064	3.8732949342943	3.81755933241737	3.82045747800811
Tshz1	10.7590108538601	10.8164711792158	10.8630480977152	10.7077161416799
Arhgef28	-1.72609094680886	-1.7254740519894	-1.72611978261548	-1.72615040685475
Arhgef25	0.647639696062653	0.647635167415318	0.647629677227185	0.654980615683186
Arhgef26	2.57328427430022	2.57307844457782	2.5820532342192	2.57238369723253
Efnb1	5.29715474468201	5.33480337270482	5.28010337205233	5.30377621880105
Mkl1	12.2039749148076	12.3248400959925	12.1928830985799	12.2266648217185
Mkl2	10.2544266284233	10.0860456547261	10.2047669509533	10.145953764105
Lmna	9.04536298634337	9.10430363012803	9.14908202040048	9.15879687707009
Fndc3c1	-1.72608161580563	-1.72609374661297	-1.72550985091315	-1.72613820173945
Mcemp1	2.34785234763743	2.34783758782779	2.34781969374799	2.37174318124278
Sorcs1	-0.310568817633235	-0.314387036718634	-0.314389910993298	-0.3143950349866
Supt16	10.4586409721985	10.3404763065453	10.474122070931	10.2830094800471
Trim34a	11.5633151780761	11.6211996388793	11.8008400861054	11.8386088261274
Trim34b	4.86399704436529	4.85180917462465	4.85155803199037	4.86339773860885
Prepl	9.32902897204714	9.29703472791205	9.25982653917471	9.27595117008976
Cdhr1	4.14131969011503	4.12232841065506	4.1665407756912	4.13679740088015
Cdhr2	-1.72608161580563	-1.72609374661297	-1.72550985091315	-1.72613820173945
Gm36633	-0.985264271146326	-0.985287830977374	-0.983021009019513	-0.98531107685437
Tcof1	12.5961153577961	12.7921369339264	12.4796320711229	12.7129322726238
Gm3279	-1.72606423884226	-1.72607527567457	-1.72608920605663	-1.72557055230732
Prmt10	10.3758146355176	10.3879002540241	10.3150834356822	10.2202118976364
AI662270	10.7715872749883	10.8045572767026	10.9539901839361	10.8149025504106
Olfr520	-0.438290317228706	-0.43829247055793	-0.434811367533215	-0.438299734866129
Olfr525	0.848685027226725	0.857208605160185	0.848673326543567	0.848661896024966
Olfr524	1.29093614787434	1.29092899829069	1.30247934436198	1.29090487847455
Gm10640	4.26526142007445	4.27965034042991	4.27764692079823	4.31900446982702
Zik1	6.47264565819638	6.54075272047786	6.46951992127778	6.58096809857155
Usp8	11.9225121916822	11.8787042904394	12.0210113292425	11.9313770114658
Usp1	12.0606438598454	12.0827729827613	11.9781075378889	12.1536276694669
Usp2	6.44186316263653	6.48341622248684	6.51852180169366	6.46746422148513
Usp3	12.2713794616303	12.3902053440465	12.1437331759211	12.1162771372343
Usp4	12.9577093780295	13.0942205428821	12.8644267215224	12.9611134679062
Usp5	11.7518693822987	11.6860296324702	11.7716416067354	11.6772530819867
Usp7	12.4349864546387	12.4928869551099	12.360832437194	12.3196447952853
Rpl38	11.8196129445338	11.8232015455286	11.7393078896128	12.0234326686107
Rpl39	11.7816857987292	11.8762749102683	11.7533611982574	12.0291651578551
Rpl36	13.2091942513767	13.2203766318476	13.1613114153438	13.442892163932
Rpl37	12.8553740905767	12.9221281825341	12.8339216636202	13.0816271783179
Rpl34	6.34644479773355	6.32368077728064	6.36555198691787	6.36666062888835
Rpl35	13.1563802108194	13.3028277836157	13.1333682357076	13.3715278304793
Rpl32	15.0076072267055	15.0971700584022	14.9944597147913	15.2461745205197
Rpl30	4.37335088358256	4.37847326688111	4.37261598599773	4.38002205311467
Rpl31	8.80088020294751	8.80571086907148	8.80440706755996	8.89598416355033
Cd302	6.83834400652048	6.77234387062061	6.78316529569384	6.77389727407882
Fam13b	11.5527718001359	11.5793268800448	11.3411407011636	11.3079865098407
Fam13a	-1.07230031809238	-1.07232180932252	-1.07234893495406	-1.07037630696848
Bcas2	11.4223609215836	11.3819522635596	11.4235430153649	11.4889495627584
Bcas3	10.7437161961394	10.5789800348845	10.6812617966587	10.7429216161563
Bcas1	2.37353132431782	2.35962334400601	2.37005773644024	2.35957234113024
Gm8369	9.78572360008842	9.69462157792091	9.99724024338266	9.90027353616584
Hist3h2ba	3.51471984882862	3.49449401448896	3.50814105969718	3.49920237890221
Mlycd	10.3879592846119	10.423353304113	10.3545582030019	10.293508131038
Hist4h4	3.94317838298437	3.9278434445791	3.93207179243249	3.95071249797281
Ttbk2	7.63689522178664	7.64318177249563	7.69346676608622	7.67220454324202
Gm10046	0.164233504903428	0.164230266865052	0.164226341324583	0.16948331282705
Ttbk1	-0.941353958585792	-0.938951174897162	-0.941376568142233	-0.941379811178338
Ncor2	9.53702983955178	9.67520417982715	9.54489183924756	9.66559076617437
Ncor1	13.7577637536452	13.7176423402997	13.7647012816287	13.6629211470565
1810010D01Rik	3.70032763753219	3.72308286434968	3.70930161317561	3.71969151634404
Pebp1	10.9732461327032	11.0697601805706	11.0118974890986	11.0749582678468
Magohb	8.12218982111422	8.0903946268558	8.15358374457495	8.12248443736056
Nkiras1	8.26179673314836	8.06849590744111	8.18238132721559	8.14001532138177
Ppme1	9.9607828857558	9.94325781801443	9.83019578471994	9.86876390624503
Gm19276	1.66615439624404	1.66614511741324	1.6811310143741	1.66611381408738
Gm19277	-0.8989837859792	-0.901525080582427	-0.90152699342246	-0.901530403449282
Cep162	9.66718779576474	9.83449193183772	9.88387932853583	9.7539110509078
Lrriq1	2.41239486746463	2.41462271904478	2.42002798813704	2.40725087484932
Lrriq3	3.25096304618361	3.27112563209415	3.24921813315109	3.25192639205786
Vmn2r84	7.73044645339627	7.65014155977437	7.67453258996296	7.61818711455228
Vmn2r85	0.276330622920468	0.275060246727928	0.277379014343265	0.277167596263925
Vmn2r86	-1.72609094680886	-1.7254740519894	-1.72611978261548	-1.72615040685475
Vmn2r87	1.90646876639186	1.89886741711556	1.90466445850981	1.90307488065912
Vmn2r81	1.42021918388799	1.4202114401798	1.4202020522286	1.43276597785479
Vmn2r82	1.36589165036862	1.35954596449252	1.36535409346796	1.35952053110025
Vmn2r83	-1.72608161580563	-1.72609374661297	-1.72550985091315	-1.72613820173945
Tinf2	9.81728165077858	9.74745892984651	9.85159388401194	9.6539319966344
Vmn2r89	-1.72608161580563	-1.72609374661297	-1.72550985091315	-1.72613820173945
Egf	6.12726588019391	6.09414138535521	6.1535121244521	6.17266935296491
Slc4a11	0.647639696062653	0.647635167415318	0.647629677227185	0.654980615683186
Slc4a10	7.28419931244817	7.26064968414262	7.17579018567059	7.25176181267231
BC026585	4.79861349266302	4.78185789595545	4.80175082078152	4.82616924814624
Ptprz1	3.44232594268413	3.4259257804439	3.43632523950383	3.4499343942104
Pold1	11.0753169896913	10.9382774796803	11.1246291924016	11.0092004257526
Pold2	10.1115576126941	10.152198105533	10.2063026553274	10.1606751180117
Pold3	10.823486937421	11.0974292223838	10.9547200379421	10.7749477492665
Pold4	7.28352598767768	7.27902758510492	7.35889865385401	7.30701927847441
Hdac1	11.8592431702289	11.8561906589527	11.8447269607123	11.7578022267089
Hdac3	11.3773145564027	11.3397523659927	11.5054898679109	11.4305481191816
Hdac2	11.1628873355077	11.3137249444169	11.1284597485852	11.2688575942603
Hdac5	10.1261930107353	10.1977086879373	10.0580091983494	10.0332900345163
Hdac4	10.8073547420893	11.0222599871578	10.8894644542795	10.928337848517
Hdac6	8.71139520976065	8.68577465263389	8.5766385837688	8.62522523362114
Hdac9	2.78779810505944	2.78777797489721	2.80044327868706	2.80760796814674
Hdac8	8.31795005894139	8.25965452122333	8.42718059376558	8.31115536802907
Gmpr	1.94518977958804	1.94494308237828	1.94348365598898	1.93986559375534
Gmps	12.2018007497719	12.112370369568	12.1454113045837	12.1295125794435
1110032F04Rik	4.86748390496106	4.91160499961828	4.8442543122938	4.87199228181419
4930557J02Rik	1.18896560738872	1.18881738695942	1.18631131883864	1.18725661726111
Pvr	8.90573540448894	8.8913415018124	9.00932420210511	8.88360904730239
4732471J01Rik	3.81966053253878	3.82587447506695	3.79916839711554	3.80408093930101
Lix1l	1.57744175101731	1.5797735119826	1.5783749209966	1.57805022005054
Ikzf5	10.6370050262995	10.5990475245064	10.6225188378686	10.581565204122
Ikzf4	5.99256299784542	5.97290670304168	6.08090127794525	6.06062682670848
Ikzf1	13.4267473847692	13.5288360420847	13.4442097262137	13.4866727897246
