HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
Plekhg2	-0.0454987042675796	0.0860129547099859	0.0454987042675796	-0.151758417860837
Plekhg3	-0.00216066377760527	-0.0314245934406507	0.019080823437891	0.00216066377760349
Plekhg1	1.07666461196532e-06	-1.07666461196532e-06	0.00348002636010364	-8.34097281088297e-06
Plekhg6	0.0171229453172956	-0.00321004778877398	0.00321004778877354	-0.0109757754004312
Plekhg5	-0.0146811612307785	0.00236374191350652	-0.00236374191350741	0.0255363986875743
Nsa2	-0.0581418879939619	0.0277527257726469	-0.0200714762653522	0.0200714762653522
Nampt	0.0152093439811445	-0.0619462752073261	-0.00477598129394963	0.00477598129394785
Vmo1	6.06540367353858e-06	-6.06540367376063e-06	0.000577830296150328	-5.05205301513101e-05
Man2a1	0.0197894147878639	-0.100551106524852	0.0092797673664311	-0.0092797673664311
F930015N05Rik	0.00381965622273045	1.43713733213868e-06	-1.43713733219419e-06	-6.56113063407515e-06
4931406P16Rik	0.0421781174097688	-0.0421781174097688	-0.134943731103498	0.0444118769015489
Vwf	-0.0054183982464262	-0.00924482355729372	0.0114278820926086	0.00541839824642665
Mier1	0.0175569458925775	-0.0175569458925793	-0.10956572909555	0.0280640269068417
Mier2	0.0851901296277315	-0.164368013508993	0.0493395580505194	-0.0493395580505194
Mier3	0.11379443620708	0.102780509590383	-0.102780509590382	-0.211439833477963
Aqp11	-0.01428089410043	0.0157661599858043	0.000694487625535256	-0.000694487625535256
1810010H24Rik	0.00709560681349686	-0.00709560681349775	0.0720819873632026	-0.0125662411176872
Tubal3	-0.0017215055162163	-0.00173589073276448	0.0017215055162163	0.0180729865807354
Dag1	0.0248732996649164	0.152609017711603	-0.0248732996649181	-0.168154734360602
Myadm	0.0798018023297224	0.049863403157886	-0.114649835750704	-0.049863403157886
Gm15008	-0.000532714655520961	0.000532714655520961	0.00491820470820614	-0.004389229806947
Sacs	0.0194200041639121	-0.0174457175960541	0.0129584534373874	-0.0129584534373883
Zfp712	-0.049709926092401	0.00735310483557861	0.0505362391302295	-0.00735310483557683
Zfp710	0.0206627852306429	0.0908414677450757	-0.0797880718711932	-0.0206627852306438
Zfp711	0.0025413172205524	-0.00254131722055284	0.0113220471752382	-0.00258093471578347
Zfp715	0.0279578738963036	-0.0279578738963053	-0.0804108093161879	0.0334885247809407
Mllt4	-0.0643710582319725	0.0852896678937469	-0.120607984993612	0.0643710582319716
Mllt6	0.0313212228988533	0.0306151166340456	-0.0306151166340456	-0.154955703801017
Zfp719	-0.0134625216424435	0.119328805601059	0.0134625216424453	-0.0994744826483949
Mllt1	0.0319633379382687	-0.0279697157918033	-0.106686515303627	0.0279697157918015
Mllt3	-0.0343257076991197	0.0230744092179069	-0.0230744092179069	0.0387984462392055
Btg4	3.93006442789279e-06	-3.93006442789279e-06	0.0126931040996714	-3.04470552194847e-05
Btg3	-0.000373672432571581	0.000331900181664402	-0.000331900181664846	0.00267464547848162
Btg2	0.16841907304353	-0.0477490037986925	0.0477490037986925	-0.0943218512306778
Btg1	0.00199300469422248	0.174200158327421	-0.12620805961442	-0.00199300469422248
Nupl1	0.0625900548391787	0.115445403306234	-0.0701867193669976	-0.0625900548391805
Nupl2	-0.000958319985299383	0.000958319985299383	-0.0645081613307212	0.0412317000780327
Npat	0.14756269878456	-0.0191917099707375	0.0191917099707357	-0.134435944224069
Ttc30a1	-0.00651674851269313	-0.00940670797979948	0.00651674851269313	0.0103591933563667
Gga1	-0.0209293470649357	-0.070765777342821	0.0529344705055053	0.0209293470649374
Gga3	-0.155614996099615	0.0447203056839367	-0.0143417993426134	0.0143417993426116
1700018C11Rik	5.5184161564803e-06	-5.5184161564803e-06	-1.94487982168035e-05	0.000499204951098342
Sorbs1	0.168557177864454	-0.0709632908656168	0.0709632908656168	-0.126847829538967
Sorbs3	-0.0202181607166247	0.0107160828042892	0.0151294708753538	-0.0107160828042892
Sorbs2	0.0176849179852971	6.66136125282435e-06	-6.66136125304639e-06	-3.04125565664393e-05
Tshz2	0.000676434470333831	8.36600472986504e-06	-8.36600472986504e-06	-4.02144597109189e-05
Tshz3	-0.0024214981820978	0.0542865290815584	-0.0014490727953671	0.00144907279536666
Tshz1	-0.02873016267786	0.02873016267786	0.0753070811773124	-0.080024874858001
Arhgef28	1.44179033105818e-05	0.000631312722769506	-1.44179033105818e-05	-4.50421425832737e-05
Arhgef25	2.26432366778884e-06	-2.26432366778884e-06	-7.75451180079489e-06	0.00734318394420042
Arhgef26	0.00010291486120062	-0.000102914861201064	0.00887187478018125	-0.000797662206493133
Efnb1	-0.00331073705951734	0.0343378909632905	-0.0203621096891968	0.00331073705951646
Mkl1	-0.0113449534554526	0.109520227729419	-0.0224367696831909	0.0113449534554508
Mkl2	0.0790662708941667	-0.0893147028030477	0.0294065934241292	-0.0294065934241292
Lmna	-0.0813298389208832	-0.0223891951362294	0.0223891951362276	0.0321040518058346
Fndc3c1	6.06540367353858e-06	-6.06540367376063e-06	0.000577830296150328	-5.05205301513101e-05
Mcemp1	7.37990481880502e-06	-7.37990481836093e-06	-2.52739846158256e-05	0.02389821351017
Sorcs1	0.00381965622273045	1.43713733213868e-06	-1.43713733219419e-06	-6.56113063407515e-06
Supt16	0.0590823328266108	-0.059082332826609	0.074563431559131	-0.116549159324782
Trim34a	-0.147704684416194	-0.0898202236130725	0.0898202236130725	0.127588963635032
Trim34b	0.00639358774854593	-0.00579428199210241	-0.00604542462637792	0.00579428199210241
Prepl	0.0425360230462335	0.0105417789111453	-0.0266664098262002	-0.0105417789111453
